Judul,Link,Tanggal,Tanggal_Clean
"Bumi Resources Umumkan Kinerja Keuangan FY 2025, Pendapatan Naik 4,8%",https://finance.detik.com/berita-ekonomi-bisnis/d-8421862/bumi-resources-umumkan-kinerja-keuangan-fy-2025-pendapatan-naik-4-8,"Senin, 30 Mar 2026 15:37 WIB",2026-03-30 15:37:00
"BUMI Cetak Laba US$ 81 Juta Sepanjang 2025, Naik 20%",https://finance.detik.com/bursa-dan-valas/d-8421819/bumi-cetak-laba-us-81-juta-sepanjang-2025-naik-20,"Senin, 30 Mar 2026 15:21 WIB",2026-03-30 15:21:00
"Saham BUMI Melempem Lagi, Sekarang Dijual di Harga Segini",https://finance.detik.com/bursa-dan-valas/d-8415885/saham-bumi-melempem-lagi-sekarang-dijual-di-harga-segini,"Kamis, 26 Mar 2026 10:25 WIB",2026-03-26 10:25:00
"Bumi Resources Resmikan Logo Baru, Ini Maknanya",https://finance.detik.com/berita-ekonomi-bisnis/d-8397551/bumi-resources-resmikan-logo-baru-ini-maknanya,"Kamis, 12 Mar 2026 21:02 WIB",2026-03-12 21:02:00
Bumi Resources Minerals Catatkan Saham di Bursa,https://finance.detik.com/foto-bisnis/d-1514847/bumi-resources-minerals-catatkan-saham-di-bursa,"Kamis, 09 Des 2010 19:21 WIB",
Bumi Resources Minerals Go Public,https://finance.detik.com/foto-bisnis/d-1489550/bumi-resources-minerals-go-public,"Senin, 08 Nov 2010 16:05 WIB",2010-11-08 16:05:00
Bumi Citra Permai Tamu ke-10 BEI,https://finance.detik.com/foto-bisnis/d-1258514/bumi-citra-permai-tamu-ke-10-bei,"Jumat, 11 Des 2009 13:38 WIB",
"IHSG Menguat ke 9.032, PGEO Siapkan Proyek Panas Bumi-IRSX Rights Issue",https://finance.detik.com/bursa-dan-valas/d-8308174/ihsg-menguat-ke-9-032-pgeo-siapkan-proyek-panas-bumi-irsx-rights-issue,"Kamis, 15 Jan 2026 08:49 WIB",2026-01-15 08:49:00
"OJK Cabut Izin BPR Bumi Pendawa Raharja di Cianjur, Ini Alasannya",https://finance.detik.com/moneter/d-8263269/ojk-cabut-izin-bpr-bumi-pendawa-raharja-di-cianjur-ini-alasannya,"Selasa, 16 Des 2025 21:00 WIB",
"IHSG Sideways, GOTO Meroket 9,8% & BUMI Resmi Kuasai 100% Wolfram!",https://finance.detik.com/bursa-dan-valas/d-8204600/ihsg-sideways-goto-meroket-9-8-bumi-resmi-kuasai-100-wolfram,"Selasa, 11 Nov 2025 08:45 WIB",2025-11-11 08:45:00
"Bumi Resources Akuisisi 99,68% Saham Wolfram Limited Australia",https://finance.detik.com/berita-ekonomi-bisnis/d-8152215/bumi-resources-akuisisi-99-68-saham-wolfram-limited-australia,"Kamis, 09 Okt 2025 10:14 WIB",
Bumi Resources Borong Dua Penghargaan di Ajang IICD Awards 2025,https://finance.detik.com/berita-ekonomi-bisnis/d-8135556/bumi-resources-borong-dua-penghargaan-di-ajang-iicd-awards-2025,"Senin, 29 Sep 2025 13:10 WIB",2025-09-29 13:10:00
